species	max_distance	mean_distance	std_distance	quartile_75_distance	quartile_25_distance	max_length	min_length
Altererythrobacter atlanticus	0.0	0.0		0.0	0.0	3475106.0	3475106.0
Altererythrobacter dongtanensis	0.0	0.0		0.0	0.0	3009495.0	3009495.0
Altererythrobacter epoxidivorans	0.0	0.0		0.0	0.0	2786256.0	2786256.0
Altererythrobacter ishigakiensis	0.0	0.0		0.0	0.0	2673978.0	2673978.0
Altererythrobacter mangrovi	0.0	0.0		0.0	0.0	2702851.0	2702851.0
Altererythrobacter marensis	0.0	0.0		0.0	0.0	2885033.0	2885033.0
Altererythrobacter namhicola	0.0	0.0		0.0	0.0	2591679.0	2591679.0
Altererythrobacter sp.	0.0	0.0		0.0	0.0	3842046.0	3842046.0
Alteromonas addita							
Alteromonas australica	0.0125405	0.00627025	0.007240261050772501	0.0125405	0.0	4457472.0	4308833.0
Alteromonas macleodii	0.08249889999999999	0.03449215102040817	0.026459507042075336	0.0369409	0.0181917	4867393.0	4480507.0
Alteromonas mediterranea	0.030875	0.018491298190277776	0.010142479989029387	0.027077	0.015710924999999997	4971381.0	4344439.0
Alteromonas naphthalenivorans							
Alteromonas sp.	1.0	0.30412932000000004	0.3301416949578203	0.295981	0.0124935	4934803.0	4143824.0
Alteromonas stellipolaris	0.0101878	0.00536577375	0.0041297608495793475	0.0088890875	0.0010050525	4904192.0	4686200.0
Aminipila sp.	0.0	0.0		0.0	0.0	2750839.0	2750839.0
Aminobacter aminovorans	0.0	0.0		0.0	0.0	6890726.0	6890726.0
Aminobacter sp.	0.0023533	0.00117665	0.0013586783884839463	0.0023533	0.0	6321606.0	5763649.0
Aminobacterium colombiense	0.0	0.0		0.0	0.0	1980592.0	1980592.0
Ammonifex degensii	0.0	0.0		0.0	0.0	2157067.0	2157067.0
Amphibacillus xylanus	0.0	0.0		0.0	0.0	2569486.0	2569486.0
Amycolatopsis albispora	0.0	0.0		0.0	0.0	9121443.0	9121443.0
Amycolatopsis japonica							
Amycolatopsis keratiniphila	0.0	0.0		0.0	0.0	8982090.0	8982090.0
Amycolatopsis mediterranei	4.769060000000002e-05	2.3836350000000004e-05	1.7414147387225145e-05	2.9793200000000005e-05	1.787055e-05	10246920.0	10236715.0
Amycolatopsis methanolica	0.0	0.0		0.0	0.0	7237391.0	7237391.0
Amycolatopsis orientalis	0.0	0.0		0.0	0.0	9490992.0	9490992.0
Amycolatopsis sp.	0.23011	0.115055	0.13285407044322478	0.23011	0.0	9488490.0	9172799.0
Anabaena cylindrica	0.0	0.0		0.0	0.0	7063285.0	7063285.0
Anabaena sp.	0.0762985	0.03814925	0.04405095951376466	0.0762985	0.0	5782034.0	5305675.0
Anaerobutyricum hallii	0.0	0.0		0.0	0.0	3515670.0	3515670.0
Anaerococcus mediterraneensis	0.0	0.0		0.0	0.0	2080215.0	2080215.0
Anaerococcus prevotii	0.0	0.0		0.0	0.0	1998633.0	1998633.0
Anaerolinea thermophila	0.0	0.0		0.0	0.0	3532378.0	3532378.0
Anaerolineaceae bacterium	0.0	0.0		0.0	0.0	2945494.0	2945494.0
Anaeromyxobacter dehalogenans	0.0	0.0		0.0	0.0	5013479.0	5013479.0
Anaeromyxobacter sp.	0.0	0.0		0.0	0.0	5277990.0	5277990.0
Anaerostipes hadrus	0.0	0.0		0.0	0.0	3172613.0	3172613.0
Anaerostipes rhamnosivorans	0.0	0.0		0.0	0.0	3588860.0	3588860.0
Anaerotignum propionicum	0.0	0.0		0.0	0.0	3120417.0	3120417.0
Anaplasma centrale	0.0	0.0		0.0	0.0	1206806.0	1206806.0
Anaplasma marginale	0.00544411	0.002722055	0.003143158373997934	0.00544411	0.0	1202435.0	1197687.0
Anaplasma ovis	0.0	0.0		0.0	0.0	1214674.0	1214674.0
Anaplasma phagocytophilum	0.017593900000000003	0.006742532500000001	0.008592493453601231	0.017417500000000002	0.0	1545197.0	1471282.0
Anderseniella sp.	0.0	0.0		0.0	0.0	4613965.0	4613965.0
Aneurinibacillus soli	0.0	0.0		0.0	0.0	4116770.0	4116770.0
Aneurinibacillus sp.	0.0	0.0		0.0	0.0	3664835.0	3664835.0
Anoxybacillus amylolyticus	0.0	0.0		0.0	0.0	3158269.0	3158269.0
Anoxybacillus flavithermus							
Anoxybacillus gonensis	0.0	0.0		0.0	0.0	2803668.0	2803668.0
Anoxybacillus sp.	0.000312573	0.0001562865	0.0001804641056914089	0.000312573	0.0	3869056.0	3819480.0
Anoxybacter fermentans	0.0	0.0		0.0	0.0	3557532.0	3557532.0
Antarctobacter heliothermus	0.0	0.0		0.0	0.0	5331190.0	5331190.0
Apibacter sp.	0.0	0.0		0.0	0.0	3293048.0	3293048.0
Aquabacterium olei	0.0	0.0		0.0	0.0	4256308.0	4256308.0
Aquaspirillum sp.	0.0	0.0		0.0	0.0	3962240.0	3962240.0
Aquifex aeolicus	0.0	0.0		0.0	0.0	1590791.0	1590791.0
Aquimarina sp.	0.23011	0.13174666666666668	0.1020114226839328	0.203604	0.0	6087890.0	5461560.0
Aquitalea magnusonii	0.0	0.0		0.0	0.0	4852135.0	4852135.0
Aquitalea sp.	0.115759	0.0578795	0.06683348981112189	0.115759	0.0	4359891.0	4346160.0
Arachidicoccus sp.	0.295981	0.1479905	0.17088471002501462	0.295981	0.0	4099663.0	3492500.0
Arcanobacterium haemolyticum	0.0	0.0	0.0	0.0	0.0	1988850.0	1986154.0
Archangium gephyra	0.0	0.0		0.0	0.0	12489432.0	12489432.0
Arcobacter bivalviorum	0.0	0.0		0.0	0.0	2684688.0	2684688.0
Arcobacter butzleri	0.0284057	0.0164386375	0.013228182769721875	0.0273375	0.0	2347607.0	2253233.0
Arcobacter cryaerophilus	0.06776289999999999	0.033881449999999994	0.039122928556069685	0.06776289999999999	0.0	2108340.0	2055914.0
Arcobacter ellisii	0.0	0.0		0.0	0.0	2799949.0	2799949.0
Arcobacter halophilus	0.0	0.0		0.0	0.0	2812536.0	2812536.0
Arcobacter marinus	0.0	0.0		0.0	0.0	2917098.0	2917098.0
Arcobacter molluscorum	0.0	0.0		0.0	0.0	2800582.0	2800582.0
Arcobacter mytili	0.0	0.0		0.0	0.0	3037595.0	3037595.0
Arcobacter nitrofigilis	0.0	0.0		0.0	0.0	3192235.0	3192235.0
Arcobacter pacificus	0.0	0.0		0.0	0.0	2657991.0	2657991.0
Arcobacter skirrowii	0.0163307	0.00816535	0.009428534041055021	0.0163307	0.0	1969846.0	1877752.0
Arcobacter sp.	0.197292	0.098646	0.11390658930895964	0.197292	0.0	2947662.0	2866429.0
Arcobacter suis	0.0	0.0		0.0	0.0	2639269.0	2639269.0
Arcobacter thereius	0.0	0.0		0.0	0.0	1915080.0	1915080.0
Arcobacter trophiarum	0.0	0.0		0.0	0.0	1915613.0	1915613.0
Arcticibacterium luteifluviistationis	0.0	0.0		0.0	0.0	5379839.0	5379839.0
Arenibacter algicola	0.0	0.0		0.0	0.0	5857781.0	5857781.0
Aromatoleum aromaticum	0.0	0.0		0.0	0.0	4727255.0	4727255.0
Arsenicicoccus sp.	0.0	0.0		0.0	0.0	3525271.0	3525271.0
Arsenophonus endosymbiont	0.0	0.0		0.0	0.0	663125.0	663125.0
Arsenophonus nasoniae	0.0	0.0		0.0	0.0	4987107.0	4987107.0
Arthrobacter alpinus	0.186761	0.11959644444444445	0.0901499079715436	0.186761	0.0	4458287.0	4046453.0
Arthrobacter crystallopoietes	0.0	0.0		0.0	0.0	5032705.0	5032705.0
