taxonId,superkingdom,genus,species
1033976,10239,,1033976
1033977,10239,2560131,2560474
1033983,2,1578,33959
1033991,2,379,384
1033992,2,286,301
1033993,2,286,1033993
1033994,2,286,1033994
1034096,10239,10652,1034096
1034099,10239,1623292,1034099
1034100,10239,1623284,1034100
1034101,10239,1623281,1034101
1034103,10239,186764,1034103
1034107,10239,1623281,1034107
1034108,10239,186764,1034108
1034109,10239,186764,1034109
1034110,10239,186764,1034110
1034111,10239,1623292,1034111
1034112,10239,1623281,1034112
1034113,10239,186764,1034113
1034114,10239,1623306,1034114
1034115,10239,1623301,1983751
1034116,10239,1623284,1993887
1034118,10239,186764,1993883
1034125,10239,1623278,1034125
1034128,10239,680114,2006133
1034129,10239,186764,1034129
1034130,10239,1982898,1983116
1034133,10239,186764,1034133
1034135,10239,186764,1034135
1034136,10239,186764,1034136
1034137,10239,1623278,1034137
1034139,10239,1982091,1982092
1034140,10239,186764,1034140
1034142,10239,186764,1034142
1034143,10239,1623295,1982928
1034144,10239,186764,2003502
1034145,10239,1623281,1034145
1034146,10239,1982554,1982556
1034149,10239,1623295,1034149
1034150,10239,1623281,1034150
1034151,10239,1982898,1983120
1034152,10239,1623306,1034152
1034345,2,1473205,1473216
1034346,2,1472649,1034346
1034347,2,1386,1287657
1034377,10239,1884454,1034377
103442,10239,1922209,103442
1034471,2,626,1034471
10345,10239,10319,10345
1034768,2,2053,84595
1034769,2,44249,1034769
1034805,10239,1542744,1985389
1034806,10239,,1034806
1034807,2,237,55197
1034808,2,2093,171279
1034809,2,1279,28035
1034836,2,1386,1390
1034889,2,34072,1034889
1034943,2,445,1034943
1034944,2,445,1034944
1035,2,1033,1035
1035116,2,662,672
1035117,2,662,672
1035184,2,1301,76860
1035185,2,1301,1318
1035187,2,1301,28037
1035188,2,724,249188
1035189,2,1301,68892
1035190,2,1301,1303
1035191,2,41275,293
1035193,2,1016,712212
1035194,2,416916,714
1035195,2,1716,61592
1035196,2,1257,1261
1035197,2,1283313,712469
10353,10239,10294,10353
1035308,2,56112,1035308
1035377,2,629,632
1035482,10239,1623295,1982927
1035485,10239,1623284,1993871
1035662,10239,,1035662
1035707,2,149698,1035707
1035817,2,1678,216816
1035839,2,724,1078480
10359,10239,10358,10359
103603,10239,186778,1980918
1036171,2,44249,1406
1036172,2,28196,28197
1036177,2,1578,1590
1036180,2,149698,1036180
1036181,2,53387,1036181
1036182,2,1865,1036182
103621,2,1654,103621
1036255,10239,190729,2010324
10366,10239,10365,10366
1036613,10239,186764,1036613
1036614,10239,1623281,1036614
1036615,10239,1623281,1993889
1036616,10239,1623281,1993888
1036672,2,290425,310575
1036673,2,44249,61624
1036674,2,135575,1036674
1036735,2,1678,1685
1036743,2,1081,1085
1036778,2,85413,1036778
1036779,2,85413,1036779
1036780,2,85413,1036780
103690,2,1177,103690
1036963,10239,334211,1176145
10371,10239,548688,10371
10372,10239,40272,10372
103721,2,40566,42197
103722,10239,249185,103722
103723,10239,249185,103723
1037256,2,590,28901
1037257,2,590,28901
1037258,2,590,28901
1037259,2,590,28901
1037261,2,590,28901
1037262,2,590,28901
103733,2,2071,103733
103734,2,2071,103734
1037355,2,375288,1037355
1037362,2,599653,1037362
1037377,2,59732,1037377
1037409,2,374,375
1037410,2,2093,114881
1037523,10239,186768,1037523
10376,10239,10375,10376
1037660,2759,5280,5281
1037680,2,1386,1037680
103782,10239,143920,103782
1037889,2,1258570,1258573
1037890,2,570,573
1037908,2,570,573
1037911,2,286,294
1037915,2,286,587753
103796,2,286,317
10380,10239,10379,10380
1038014,2,290174,1038014
1038068,10239,153135,99182
103807,10239,,103807
103808,2,1827,103808
1038082,10239,10814,1038082
10381,10239,10379,10381
103816,2,1827,103816
103836,2,359169,103836
103838,2,83681,103838
10385,10239,10379,10385
103855,2,517,103855
10386,10239,180255,10386
103881,10239,67753,103881
1038844,2,561,562
1038845,2,237,1038845
1038856,2,1372,1038856
1038857,2,57493,1038857
1038858,2,6,281091
1038859,2,374,29448
1038860,2,374,29448
1038863,2,374,375
1038866,2,374,1038866
1038867,2,374,1038867
1038869,2,1822464,312026
1038870,2,1822464,312026
103891,2,29465,103891
103892,2,29465,103892
1038921,2,286,587753
1038922,2,286,294
1038923,2,286,294
1038927,2,561,562
1038928,2,1883,1038928
1038929,2,1883,1038928
10390,10239,180252,10390
10397,10239,,10397
10398,10239,548687,10398
103985,2,286,317
104,2,68288,104
10401,10239,172653,10401
10406,10239,10405,10406
1040638,2,561,562
10407,10239,10405,10407
104087,2,286,104087
1040963,2,810,83554
1040964,2,1578,1623
104097,2,434,104097
1040978,2,106589,164546
1040979,2,106589,1040979
104098,2,434,104098
1040980,2,68287,39645
1040981,2,68287,39645
1040982,2,68287,381
1040983,2,68287,1777866
1040984,2,68287,1040984
1040985,2,68287,1040985
1040986,2,68287,1040986
1040987,2,68287,1040987
1040988,2,374,1040988
1040989,2,374,1040989
104099,2,434,104099
104100,2,434,104100
104101,2,434,104101
104102,2,434,104102
1041138,2,379,56730
1041139,2,379,56731
1041140,2,379,384
1041141,2,379,384
1041142,2,379,384
1041143,2,379,384
1041144,2,379,384
1041145,2,379,384
1041146,2,379,50338
1041147,2,379,29450
1041148,2,28105,110321
1041149,2,28105,110321
1041150,2,28105,110321
1041151,2,28105,382
1041152,2,28105,382
1041153,2,28105,382
1041154,2,28105,382
1041155,2,28105,382
1041156,2,28105,382
1041157,2,28105,382
1041159,2,106591,1041159
1041406,10239,186764,1041406
1041504,2,49082,1041504
1041521,2,1578,1624
1041522,2,1763,339268
1041524,10239,1985720,1985722
1041526,10239,1857843,1924734
1041527,10239,1857843,1980964
1041607,2759,599737,1041607
1041766,2,1541670,1041766
1041768,2,1541670,1041768
1041806,10239,1921556,1041806
1041807,10239,186764,1041807
1041809,2,49082,49118
1041826,2,237,996
1041831,10239,1921556,1041831
1041883,10239,,1041883
1041929,10239,1312873,1312874
1042122,10239,,1042122
1042123,10239,,1042123
1042156,2,1485,1042156
1042163,2,55080,1465
1042209,2,286,294
1042311,2759,5543,101201
1042326,2,379,1042326
1042375,2,48075,49186
1042376,2,1916646,1042376
1042377,2,48073,260552
1042378,2,252301,1042378
1042399,2,1578,1584
1042400,2,1578,1584
1042402,2,1357,1358
1042403,2,1678,28025
1042404,2,1301,1308
1042417,2,29521,52584
1042418,2,29521,52584
104263,10239,12163,104263
104268,2,104267,104268
104270,2,104267,104270
1042803,2,561,562
1042804,2,561,562
1042873,2,1386,1428
1042875,2,1386,1428
1042876,2,286,303
1042878,2,106589,106590
1042957,2,1707,1042957
1043002,2759,5579,5580
1043004,2759,5579,559561
1043005,2759,5579,1042127
1043184,10239,140568,1043184
1043205,2,265976,1078471
1043206,2,522,1043206
104336,2,33882,104336
1043493,2,1217415,1043493
104388,10239,180252,104388
104389,10239,12195,104389
104390,10239,12195,104390
104392,10239,12195,104392
104393,10239,12195,104393
104395,10239,104394,104395
1044,2,1041,1044
10449,10239,558016,10449
1044999,2,551,65700
1045004,2,46254,336988
1045009,2,169133,1045009
1045010,2,561,562
1045012,2,2304692,288965
10454,10239,558016,10454
10455,10239,558016,10455
1045558,2,75687,1045558
10456,10239,558016,10456
1045773,2,1663,1045773
1045774,2,1839,1045774
1045775,2,44249,1045775
1045776,2,43356,1045776
1045778,10239,40122,1513214
104580,10239,208294,104580
1045808,2,1827,1045808
104581,10239,10892,104581
1045854,2,46255,165096
1045855,2,83618,415229
1045857,2,413496,28141
1045858,2,29521,84377
104605,2,13687,104605
104609,2,662,104609
104623,2,613,104623
1046251,10239,11271,1972574
1046267,10239,558016,1046267
104628,2,209,104628
104637,10239,156208,104637
10464,10239,558017,10464
1046402,10239,12163,1046402
1046403,10239,119164,1046403
1046556,2,1839,1046556
1046571,10239,10814,1046571
1046572,10239,10814,1046572
1046573,10239,10814,1046573
1046574,10239,10814,1046574
1046581,2,810,1405396
1046596,2,1578,1618
1046599,2,1578,89059
104662,2,79328,104662
1046624,2,1357,1358
1046625,2,469,28090
1046627,2,283785,456455
104663,2,79328,104663
104664,10239,249199,104664
1046714,2,1234605,1234606
1046724,2,2742,209639
1047172,2,1817,1047172
10479,10239,2022739,10479
1048,2,85076,1048
1048205,2,1883,1048205
1048207,10239,1920866,1920997
1048208,2,129337,1048208
1048245,2,1763,78331
1048254,2,561,562
1048256,2,561,562
1048260,2,179,178606
1048261,2,286,303
1048264,2,1301,1314
1048265,2,561,562
1048266,2,561,562
1048332,2,1301,1304
1048334,2,561,562
1048339,2,35750,35751
1048340,2,1155934,1048340
1048380,2,76008,1048380
1048394,2,1259734,1048394
10484,10239,10483,10484
1048434,10239,2169649,1048434
1048642,2,1249554,1048642
1048668,10239,2169619,1048668
1048680,2,379,1048680
1048689,2,561,562
1048808,2,,54396
1048830,2,2093,2116
1048834,2,29330,405212
1048854,10239,11584,1933183
1048983,2,1494913,1048983
1049199,2,947567,1049199
1049283,10239,,1049283
10493,10239,10492,10493
104955,2,1578,104955
1049564,2,,94785
1049565,2,570,573
1049583,2,57493,1049583
1049584,2,1827,1049584
10497,10239,39743,10497
1049759,2,171,100053
1049762,2,171,174
1049765,2,171,174
1049766,2,171,174
1049767,2,171,174
1049773,2,171,174
1049776,2,171,174
1049780,2,171,174
1049781,2,171,174
1049782,2,171,174
1049786,2,171,174
1049789,2,171,301541
1049790,2,171,29506
1049795,2,171,173
1049801,2,171,173
1049802,2,171,173
1049803,2,171,173
1049804,2,171,173
1049805,2,171,173
1049806,2,171,173
1049807,2,171,173
1049814,2,171,173
1049815,2,171,173
1049819,2,171,173
1049820,2,171,173
1049821,2,171,173
1049902,2,171,173
1049903,2,171,173
1049904,2,171,173
1049905,2,171,173
1049906,2,171,173
1049907,2,171,173
1049908,2,171,173
1049909,2,171,173
1049910,2,171,173
1049911,2,171,173
1049912,2,171,173
1049913,2,171,173
1049920,2,171,173
1049921,2,171,173
1049922,2,171,173
1049923,2,171,173
1049924,2,171,173
1049925,2,171,173
1049926,2,171,173
1049927,2,171,173
1049928,2,171,173
1049929,2,171,173
1049930,2,171,173
1049931,2,171,173
1049932,2,171,173
1049933,2,171,173
1049934,2,171,173
1049935,2,171,173
1049936,2,171,173
1049937,2,171,173
1049938,2,171,173
1049939,2,171,173
1049940,2,171,173
1049941,2,171,29507
1049942,2,171,29507
1049943,2,171,29507
1049944,2,171,29507
1049945,2,171,29507
1049946,2,171,29507
1049947,2,171,29507
1049961,2,171,29507
1049962,2,171,29507
1049964,2,171,29507
1049966,2,171,29507
1049968,2,171,29507
1049969,2,171,29507
1049970,2,171,408139
1049971,2,171,447106
1049972,2,171,447106
1049973,2,171,28182
1049974,2,171,28182
1049976,2,171,28183
1049977,2,171,28183
1049978,2,171,28183
1049979,2,171,28183
1049980,2,171,28183
1049981,2,171,28183
1049982,2,171,28183
1049983,2,171,28183
1049984,2,171,28183
1049985,2,171,28183
1049986,2,171,28184
1050107,2,1578,1584
1050153,2,125287,1050153
1050174,2,1716,1050174
1050190,2,590,28901
1050193,2,590,28901
1050198,2,168694,351187
1050199,2,168694,351187
1050201,2,174708,174709
1050202,2,1849,33906
1050219,2,810,83554
1050220,2,810,83554
1050221,2,810,83554
1050222,2,44249,1050222
1050347,2,286,930166
1050370,2,32012,1050370
1050407,10239,10652,1050407
10506,10239,181083,10506
1050617,2,561,562
1050720,2,357,358
1050843,2,1912216,1050843
1050903,10239,1511810,1050903
10510,10239,10509,129950
1051003,2,286,287
1051004,2,286,287
1051005,2,286,287
1051006,2,1912216,1574624
1051055,2,234,235
1051056,2,234,235
1051057,2,234,235
1051058,2,234,235
1051059,2,234,235
1051060,2,234,235
1051061,2,234,235
1051062,2,234,235
1051072,2,1301,1336
1051074,2,1301,1308
1051138,10239,186764,1051138
1051139,2,180541,1304158
1051140,10239,186764,1051140
1051143,10239,1623306,1051143
10512,10239,10509,10537
1051346,2,561,562
1051347,2,561,562
1051348,2,561,562
1051349,2,561,562
1051350,2,561,562
1051351,2,561,562
1051352,2,561,562
1051353,2,561,562
1051362,2,662,666
10514,10239,10509,10537
10515,10239,10509,129951
1051501,2,1386,72360
1051502,2,1386,72361
1051503,2,1386,1423
105154,10239,40274,2003328
1051616,2759,1036719,1051616
1051623,2,469,1051623
1051629,2,1763,1764
1051631,10239,1623304,1051631
1051645,2,662,29497
1051646,2,662,29498
1051649,2,662,28173
1051650,2,1578,1582
1051651,2,1578,1582
1051653,2,1578,1582
1051661,2,1578,1582
1051662,2,1827,1828
1051673,10239,1985720,1051673
1051674,10239,1985293,1985307
1051675,10239,,1051675
1051676,10239,,1051676
1051792,10239,40276,1051792
10519,10239,10509,108098
1051966,10239,10814,1051966
1051972,2,482,28091
1051973,2,1827,1828
1051985,2,482,28091
1052,2,85108,1052
1052095,2,364409,364410
1052121,10239,1914165,1914193
105219,2,48736,105219
10522,10239,10509,108098
1052209,2,,1052209
1052212,2,,1052212
1052260,2,2183612,1052260
